AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,200060,1.3,68.502,0.96,,,65.95,137180.0,0.6,28.27,39.25,58.76,81.34,106.59,58790,81630,122230.0,169180,221700,,
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,6690,6.3,2.29,1.67,,,116.98,243330.0,3.5,42.38,61.95,93.35,#,#,88150,128860,194160.0,#,#,,
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,73900,2.6,25.303,1.09,,,55.43,115300.0,1.2,22.31,30.06,46.22,67.71,100.76,46400,62520,96130.0,140830,209580,,
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,80,23,0.029,0.21,,,65.82,136900.0,9.1,38.34,49.23,55.44,73.11,101.85,79750,102400,115300.0,152060,211840,,
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,8610,3.3,2.95,1.18,,,82.63,171860.0,2,40.55,58.47,80.41,102.43,#,84350,121620,167250.0,213050,#,,
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,10480,4.7,3.587,0.92,,,79.67,165710.0,2.6,38.46,49.44,71.24,98.2,#,79990,102830,148190.0,204260,#,,
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,1340,6.3,0.458,0.93,,,61.51,127940.0,7.3,14.42,33.29,57.96,80.73,101.17,29990,69240,120550.0,167920,210430,,
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,650,19.4,0.222,0.93,,,65.19,135600.0,5.6,38.59,46.46,59.36,80.25,96.15,80270,96630,123460.0,166910,200000,,
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,6010,3.4,2.057,1.25,,,74.22,154370.0,2.1,42.55,51.4,64.93,87,#,88500,106910,135050.0,180960,#,,
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,2520,4.4,0.862,0.94,,,54.71,113810.0,1.3,34.29,40.45,51.94,62.71,78.23,71320,84140,108030.0,130440,162710,,
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,10710,2.6,3.668,0.88,,,86.73,180390.0,0.9,51.94,66.07,82.57,102.35,#,108030,137420,171750.0,212880,#,,
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,16520,3.3,5.655,1.07,,,81.99,170550.0,1.2,47.32,59.36,75.98,98.54,#,98430,123470,158040.0,204950,#,,
